Combinations
"2,5,6,8NOT "
"2,5,6,9NOT "
"3,5,6,8NOT "
"3,5,6,9NOT "
"1,4,6,8NOT "
"1,4,6,9NOT "
" NOT2,3,5,6,8,9"
"2,5,6NOT8"
"2,5,6NOT9"
"3,5,6NOT8"
"3,5,6NOT9"
"2,5,8NOT6"
"2,5,9NOT6"
"3,5,8NOT6"
"3,5,9NOT6"
"2,6,8NOT5"
"2,6,9NOT5"
"3,6,8NOT5"
"3,6,9NOT5"
"5,6,8NOT2"
"5,6,9NOT2"
"5,6,8NOT3"
"5,6,9NOT3"
"1,4,6NOT8"
"1,4,8NOT6"
"1,6,8NOT4"
"4,6,8NOT1"
"1,4,6NOT9"
"1,4,9NOT6"
"1,6,9NOT4"
"4,6,9NOT1"
"2,5,NOT6,8"
"2,5,NOT6,9"
"3,5,NOT6,8"
"3,5,NOT6,9"
"2,6NOT5,8"
"2,6NOT5,9"
"3,6NOT5,8"
"3,6NOT5,9"
"2,8NOT5,6"
"2,9NOT5,6"
"3,8NOT5,6"
"3,9NOT5,6"
"5,6NOT2,8"
"5,6NOT2,9"
"5,6NOT3,8"
"5,6NOT3,9"
"5,8NOT2,6"
"5,9NOT2,6"
"5,8NOT3,6"
"5,9NOT3,6"
"6,8NOT2,5"
"6,9NOT2,5"
"6,8NOT3,5"
"6,9NOT3,5"
"1,4,NOT6,8"
"1,6NOT4,8"
"1,8NOT4,6"
"4,6NOT1,8"
"4,8NOT1,6"
"6,8NOT1,4"
"1,4,NOT6,9"
"1,6NOT4,9"
"1,9NOT4,6"
"4,6NOT1,9"
"4,9NOT1,6"
"6,9NOT1,4"
"2NOT5,6,8"
"2NOT5,6,9"
"3NOT5,6,8"
"3NOT5,6,9"
"5NOT2,6,8"
"5NOT2,6,9"
"5NOT3,6,8"
"5NOT3,6,9"
"6NOT2,5,8"
"6NOT2,5,9"
"6NOT3,5,8"
"6NOT3,5,9"
"8NOT2,5,6"
"9NOT2,5,6"
"8NOT3,5,6"
"9NOT3,5,6"
"1NOT4,6,8"
"4NOT1,6,8"
"6NOT1,4,8"
"8NOT1,4,6"
"1NOT4,6,9"
"4NOT1,6,9"
"6NOT1,4,9"
"9NOT1,4,6"
